char	index	unicode	strokes	sequence
伟	0454	U+4F1F	6	3;2;1;1;5;2
传	0455	U+4F20	6	3;2;1;1;5;4
乒	0456	U+4E52	6	3;2;1;2;1;3
乓	0457	U+4E53	6	3;2;1;2;1;4
休	0458	U+4F11	6	3;2;1;2;3;4
伍	0459	U+4F0D	6	3;2;1;2;5;1
伎	3602	U+4F0E	6	3;2;1;2;5;4
伏	0460	U+4F0F	6	3;2;1;3;4;4
伛	3603	U+4F1B	6	3;2;1;3;4;5
优	0461	U+4F18	6	3;2;1;3;5;4
臼	0462	U+81FC	6	3;2;1;5;1;1
伢	3604	U+4F22	6	3;2;1;5;2;3
伐	0463	U+4F10	6	3;2;1;5;3;4
仳	6537	U+4EF3	6	3;2;1;5;3;5
延	0464	U+5EF6	6	3;2;1;5;5;4
